0 63
65529 10 0 25 11 0 
4 65531 0 6 14 0 
17 12 65524 15 0 0 
6 0 4 65512 27 0 
0 1 13 0 65521 0 
0 0 0 0 0 0 
1 67
65536 65536 65536 65536 65536 -1 
0 65527 65532 2 10 0 
65536 12 65536 15 0 0 
6 0 65536 65512 27 0 
0 1 65536 0 65521 0 
0 0 -1 0 0 0 
2 73
65519 0 65526 15 1 0 
4 65531 0 6 14 0 
17 12 65524 15 0 0 
6 0 4 65512 27 0 
0 1 13 0 65521 0 
0 0 0 0 0 0 
3 67
65536 65536 65536 65536 65536 -1 
65536 65536 65536 65536 65536 -2 
65536 12 65536 15 0 0 
65536 0 65536 65512 27 0 
65536 1 65536 0 65521 0 
-2 0 -1 0 0 0 
4 69
65536 65536 65536 65536 65536 -1 
65534 65525 65530 0 8 0 
65536 12 65536 15 0 0 
6 0 65536 65512 27 0 
0 1 65536 0 65521 0 
0 0 -1 0 0 0 
7 67
65536 65536 65536 65536 65536 -1 
65536 65536 65536 65536 65536 -2 
65536 65536 65536 65536 65536 -3 
65536 0 65536 65512 65536 0 
65536 1 65536 0 65536 0 
-2 0 -1 0 -3 0 
8 106
65536 65536 65536 65536 65509 -1 
65536 65536 65536 65536 65509 -2 
65524 0 65524 3 65497 0 
65536 0 65536 65512 0 0 
65536 1 65536 0 65494 0 
-2 0 -1 0 0 0 
15 67
65536 65536 65536 65536 65536 -1 
65536 65536 65536 65536 65536 -2 
65536 65536 65536 65536 65536 -3 
65536 65536 65536 65536 65536 -4 
65536 65536 65536 0 65536 0 
-2 -4 -1 0 -3 0 
16 65580
65536 65535 65536 65536 65536 -1 
65536 65535 65536 65536 65536 -2 
65536 65535 65536 65536 65536 -3 
24 23 24 0 24 0 
65536 0 65536 0 65536 0 
-2 0 -1 0 -3 0 
31 67
65536 65536 65536 65536 65536 -1 
65536 65536 65536 65536 65536 -2 
65536 65536 65536 65536 65536 -3 
65536 65536 65536 65536 65536 -4 
65536 65536 65536 65536 65536 -5 
-2 -4 -1 -5 -3 0 
32 65603
65536 65536 65536 65536 65536 -1 
65536 65536 65536 65536 65536 -2 
65536 65536 65536 65536 65536 -3 
65536 65536 65536 65536 65536 -4 
0 0 0 0 0 0 
-2 -4 -1 0 -3 0 
